zip,city,state
38625,Batesville,MS
63001,Ballwin,MO
63002,Ballwin,MO
63003,Ballwin,MO
63004,Ballwin,MO
63005,Ballwin,MO
63006,Ballwin,MO
63007,Ballwin,MO
63008,Ballwin,MO
63009,Ballwin,MO
63010,Ballwin,MO
63011,Ballwin,MO
63012,Ballwin,MO
63013,Ballwin,MO
63014,Ballwin,MO
63015,Ballwin,MO
63016,Ballwin,MO
63017,Ballwin,MO
63018,Ballwin,MO
63019,Ballwin,MO
63020,Ballwin,MO
63021,Ballwin,MO
63022,Ballwin,MO
63023,Ballwin,MO
63024,Ballwin,MO
63025,Ballwin,MO
59001,Absarokee,MT
59002,Absarokee,MT
59003,Absarokee,MT
59004,Absarokee,MT
59005,Absarokee,MT
59006,Absarokee,MT
59007,Absarokee,MT
59008,Absarokee,MT
59009,Absarokee,MT
59010,Absarokee,MT
59011,Absarokee,MT
59012,Absarokee,MT
59013,Absarokee,MT
59014,Absarokee,MT
59015,Absarokee,MT
59016,Absarokee,MT
59017,Absarokee,MT
59018,Absarokee,MT
59019,Absarokee,MT
59020,Absarokee,MT
59021,Absarokee,MT
59022,Absarokee,MT
59023,Absarokee,MT
59024,Absarokee,MT
59025,Absarokee,MT
68001,Bellevue,NE
68002,Bellevue,NE
68003,Bellevue,NE
68004,Bellevue,NE
68005,Bellevue,NE
68006,Bellevue,NE
68007,Bellevue,NE
68008,Bellevue,NE
68009,Bellevue,NE
68010,Bellevue,NE
68011,Bellevue,NE
68012,Bellevue,NE
68013,Bellevue,NE
68014,Bellevue,NE
68015,Bellevue,NE
68016,Bellevue,NE
68017,Bellevue,NE
68018,Bellevue,NE
68019,Bellevue,NE
68020,Bellevue,NE
68021,Bellevue,NE
68022,Bellevue,NE
68023,Bellevue,NE
68024,Bellevue,NE
68025,Bellevue,NE
88901,Las Vegas,NV
88902,Las Vegas,NV
89001,Blue Diamond,NV
89002,Boulder City,NV
89003,Boulder City,NV
89004,Boulder City,NV
89005,Boulder City,NV
89006,Boulder City,NV
89007,Boulder City,NV
89008,Boulder City,NV
89009,Boulder City,NV
89010,Boulder City,NV
89011,Henderson,NV
89012,Henderson,NV
89013,Henderson,NV
89014,Henderson,NV
89015,Henderson,NV
89016,Henderson,NV
89017,Henderson,NV
89018,Henderson,NV
89019,Henderson,NV
89020,Henderson,NV
89021,Henderson,NV
89022,Henderson,NV
89023,Henderson,NV
3031,Amherst,NH
3032,Antrim,NH
3033,Auburn,NH
3034,Bedford,NH
3035,Bennington,NH
3036,Brookline,NH
3037,Center Barnstead,NH
3038,Center Conway,NH
3039,Center Harbor,NH
3040,Charlestown,NH
3041,Chester,NH
3042,Concord,NH
3043,Cornish,NH
3044,Danbury,NH
3045,Derry,NH
3046,Dublin,NH
3047,Durham,NH
3048,East Hampstead,NH
3049,East Kingston,NH
3050,Epsom,NH
3051,Exeter,NH
3052,Fitzwilliam,NH
3053,Franklin,NH
3054,Fremont,NH
3055,Goffstown,NH
7001,Newark,NJ
7002,Newark,NJ
7003,Newark,NJ
7004,Newark,NJ
7005,Newark,NJ
7006,Newark,NJ
7007,Newark,NJ
7008,Newark,NJ
7009,Newark,NJ
7010,Newark,NJ
7011,Newark,NJ
7012,Newark,NJ
7013,Newark,NJ
7014,Newark,NJ
7015,Newark,NJ
7016,Newark,NJ
7017,Newark,NJ
7018,Newark,NJ
7019,Newark,NJ
7020,Newark,NJ
7021,Newark,NJ
7022,Newark,NJ
7023,Newark,NJ
7024,Newark,NJ
7025,Newark,NJ
87001,Albuquerque,NM
87002,Albuquerque,NM
87003,Albuquerque,NM
87004,Albuquerque,NM
87005,Albuquerque,NM
87006,Albuquerque,NM
87007,Albuquerque,NM
87008,Albuquerque,NM
87009,Albuquerque,NM
87010,Albuquerque,NM
87011,Albuquerque,NM
87012,Albuquerque,NM
87013,Albuquerque,NM
87014,Albuquerque,NM
87015,Albuquerque,NM
87016,Albuquerque,NM
87017,Albuquerque,NM
87018,Albuquerque,NM
87019,Albuquerque,NM
87020,Albuquerque,NM
87021,Albuquerque,NM
87022,Albuquerque,NM
87023,Albuquerque,NM
87024,Albuquerque,NM
87025,Albuquerque,NM
10001,New York,NY
10002,New York,NY
10003,New York,NY
10004,New York,NY
10005,New York,NY
10006,New York,NY
10007,New York,NY
10008,New York,NY
10009,New York,NY
10010,New York,NY
10011,New York,NY
10012,New York,NY
10013,New York,NY
10014,New York,NY
10015,New York,NY
10016,New York,NY
10017,New York,NY
10018,New York,NY
10019,New York,NY
10020,New York,NY
10021,New York,NY
10022,New York,NY
10023,New York,NY
10024,New York,NY
10025,New York,NY
27006,Charlotte,NC
27007,Charlotte,NC
27008,Charlotte,NC
27009,Charlotte,NC
27010,Charlotte,NC
27011,Charlotte,NC
27012,Charlotte,NC
27013,Charlotte,NC
27014,Charlotte,NC
27015,Charlotte,NC
27016,Charlotte,NC
27017,Charlotte,NC
27018,Charlotte,NC
27019,Charlotte,NC
27020,Charlotte,NC
27021,Charlotte,NC
27022,Charlotte,NC
27023,Charlotte,NC
27024,Charlotte,NC
27025,Charlotte,NC
27026,Charlotte,NC
27027,Charlotte,NC
27028,Charlotte,NC
27029,Charlotte,NC
27030,Charlotte,NC
58001,Abercrombie,ND
58002,Amenia,ND
58003,Argusville,ND
58004,Arthur,ND
58005,Ayr,ND
58006,Barnesville,ND
58007,Barney,ND
58008,Bathgate,ND
58009,Benedict,ND
58010,Berthold,ND
58011,Bismarck,ND
58012,Bismarck,ND
58013,Bismarck,ND
58014,Bismarck,ND
58015,Bismarck,ND
58016,Bismarck,ND
58017,Bismarck,ND
58018,Bismarck,ND
58019,Bismarck,ND
58020,Bismarck,ND
58021,Bismarck,ND
58022,Bismarck,ND
58023,Bismarck,ND
58024,Bismarck,ND
58025,Bismarck,ND
43001,Amlin,OH
43002,Alexandria,OH
43003,Ashville,OH
43004,Baltimore,OH
43005,Bellefontaine,OH
43006,Bellefontaine,OH
43007,Bellefontaine,OH
43008,Bellefontaine,OH
43009,Bellefontaine,OH
43010,Bellefontaine,OH
43011,Bellefontaine,OH
43012,Bellefontaine,OH
43013,Bellefontaine,OH
43014,Bellefontaine,OH
43015,Bellefontaine,OH
43016,Bellefontaine,OH
43017,Bellefontaine,OH
43018,Bellefontaine,OH
43019,Bellefontaine,OH
43020,Bellefontaine,OH
43021,Bellefontaine,OH
43022,Bellefontaine,OH
43023,Bellefontaine,OH
43024,Bellefontaine,OH
43025,Bellefontaine,OH
73001,Amber,OK
73002,Anadarko,OK
73003,Anadarko,OK
73004,Anadarko,OK
73005,Anadarko,OK
73006,Anadarko,OK
73007,Anadarko,OK
73008,Anadarko,OK
73009,Anadarko,OK
73010,Anadarko,OK
73011,Anadarko,OK
73012,Anadarko,OK
73013,Anadarko,OK
73014,Anadarko,OK
73015,Anadarko,OK
73016,Anadarko,OK
73017,Anadarko,OK
73018,Anadarko,OK
73019,Anadarko,OK
73020,Anadarko,OK
73021,Anadarko,OK
73022,Anadarko,OK
73023,Anadarko,OK
73024,Anadarko,OK
73025,Anadarko,OK
97001,Albany,OR
97002,Aloha,OR
97003,Beaverton,OR
97004,Beaverton,OR
97005,Beaverton,OR
97006,Beaverton,OR
97007,Beaverton,OR
97008,Beaverton,OR
97009,Beaverton,OR
97010,Beaverton,OR
97011,Beaverton,OR
97012,Beaverton,OR
97013,Beaverton,OR
97014,Beaverton,OR
97015,Beaverton,OR
97016,Beaverton,OR
97017,Beaverton,OR
97018,Beaverton,OR
97019,Beaverton,OR
97020,Beaverton,OR
97021,Beaverton,OR
97022,Beaverton,OR
97023,Beaverton,OR
97024,Beaverton,OR
97025,Beaverton,OR
15001,Aliquippa,PA
15002,Allison Park,PA
15003,Ambridge,PA
15004,Baden,PA
15005,Beaver,PA
15006,Bairdford,PA
15007,Bairdford,PA
15008,Bairdford,PA
15009,Bairdford,PA
15010,Bairdford,PA
15011,Bairdford,PA
15012,Bairdford,PA
15013,Bairdford,PA
15014,Bairdford,PA
15015,Bairdford,PA
15016,Bairdford,PA
15017,Bairdford,PA
15018,Bairdford,PA
15019,Bairdford,PA
15020,Bairdford,PA
15021,Bairdford,PA
15022,Bairdford,PA
15023,Bairdford,PA
15024,Bairdford,PA
15025,Bairdford,PA
2801,Barrington,RI
2802,Block Island,RI
2803,Bristol,RI
2804,Carolina,RI
2806,Central Falls,RI
2807,Charlestown,RI
2808,Chepachet,RI
2809,Clayville,RI
2810,Cranston,RI
2812,East Greenwich,RI
2813,Exeter,RI
2814,Foster,RI
2815,Greene,RI
2816,Greenville,RI
2817,Harmony,RI
2818,Hope,RI
2821,Hope Valley,RI
2822,Jamestown,RI
2823,Kenyon,RI
2824,Lincoln,RI
2825,Little Compton,RI
2826,Little Compton,RI
2827,Little Compton,RI
2828,Little Compton,RI
2829,Little Compton,RI
29001,Aiken,SC
29002,Aiken,SC
29003,Aiken,SC
29004,Aiken,SC
29005,Aiken,SC
29006,Aiken,SC
29007,Aiken,SC
29008,Aiken,SC
29009,Aiken,SC
29010,Aiken,SC
29011,Aiken,SC
29012,Aiken,SC
29013,Aiken,SC
29014,Aiken,SC
29015,Aiken,SC
29016,Aiken,SC
29017,Aiken,SC
29018,Aiken,SC
29019,Aiken,SC
29020,Aiken,SC
29021,Aiken,SC
29022,Aiken,SC
29023,Aiken,SC
29024,Aiken,SC
29025,Aiken,SC
57001,Aberdeen,SD
57002,Agar,SD
57003,Alcester,SD
57004,Alexandria,SD
57005,Alpena,SD
57006,Arlington,SD
57007,Armour,SD
57008,Artesian,SD
57009,Asbury,SD
57010,Avon,SD
57011,Baltic,SD
57012,Beresford,SD
57013,Big Stone City,SD
57014,Bonesteel,SD
57015,Bowdle,SD
57016,Brandon,SD
57017,Brentford,SD
57018,Bristol,SD
57019,Britton,SD
57020,Broadland,SD
57021,Brookings,SD
57022,Bryant,SD
57023,Canistota,SD
57024,Canton,SD
57025,Carthage,SD
37010,Alexandria,TN
37011,Antioch,TN
37012,Antioch,TN
37013,Antioch,TN
37014,Ardmore,TN
37015,Ashland City,TN
37016,Athens,TN
37017,Atwood,TN
37018,Baker,TN
37019,Bakewell,TN
37020,Baneberry,TN
37021,Beech Bluff,TN
37022,Beechgrove,TN
37023,Bethel Springs,TN
37024,Bethpage,TN
37025,Big Rock,TN
37026,Big Sandy,TN
37027,Blountville,TN
37028,Bone Cave,TN
37029,Boonshill,TN
37030,Bradford,TN
37031,Bradford,TN
37032,Bradford,TN
37033,Bradford,TN
37034,Bradford,TN
73301,Austin,TX
73344,Austin,TX
75001,Dallas,TX
75002,Allen,TX
75006,Carrollton,TX
75007,Carrollton,TX
75008,Carrollton,TX
75009,Celina,TX
75010,Carrollton,TX
75011,Carrollton,TX
75013,Dallas,TX
75014,Carrollton,TX
75015,Coppell,TX
75016,Irving,TX
75017,Irving,TX
75018,Irving,TX
75019,Coppell,TX
75020,Denison,TX
75021,Denton,TX
75022,Dallas,TX
75023,Plano,TX
75024,Plano,TX
75025,Plano,TX
75026,Plano,TX
75027,Plano,TX
84001,Alpine,UT
84002,Alta,UT
84003,American Fork,UT
84004,American Fork,UT
84005,American Fork,UT
84006,American Fork,UT
84007,American Fork,UT
84008,American Fork,UT
84009,American Fork,UT
84010,American Fork,UT
84011,American Fork,UT
84012,American Fork,UT
84013,American Fork,UT
84014,American Fork,UT
84015,Bountiful,UT
84016,Bountiful,UT
84017,Bountiful,UT
84018,Bountiful,UT
84019,Bountiful,UT
84020,Bountiful,UT
84021,Bountiful,UT
84022,Bountiful,UT
84023,Bountiful,UT
84024,Bountiful,UT
84025,Bountiful,UT
5001,Ascutney,VT
5002,Barnard,VT
5003,Bethel,VT
5004,Bradford,VT
5005,Bridgewater,VT
5006,Bridport,VT
5007,Bristol,VT
5008,Brookfield,VT
5009,Canaan,VT
5010,Cavendish,VT
5011,Cavendish,VT
5012,Cavendish,VT
5013,Cavendish,VT
5014,Cavendish,VT
5015,Cavendish,VT
5016,Cavendish,VT
5017,Cavendish,VT
5018,Cavendish,VT
5019,Cavendish,VT
5020,Cavendish,VT
5021,Cavendish,VT
5022,Cavendish,VT
5023,Cavendish,VT
5024,Cavendish,VT
5025,Cavendish,VT
20040,Washington,VA
20041,Washington,VA
20042,Washington,VA
20101,Washington,VA
20102,Washington,VA
20103,Washington,VA
20104,Washington,VA
20105,Washington,VA
20106,Washington,VA
20107,Washington,VA
20108,Washington,VA
20109,Washington,VA
20110,Manassas,VA
20111,Manassas,VA
20112,Manassas,VA
20113,Manassas,VA
20114,Manassas,VA
20115,Manassas,VA
20116,Manassas,VA
20117,Manassas,VA
20118,Manassas,VA
20119,Manassas,VA
20120,Washington,VA
20121,Washington,VA
20122,Washington,VA
98001,Auburn,WA
98002,Auburn,WA
98003,Auburn,WA
98004,Bellevue,WA
98005,Bellevue,WA
98006,Bellevue,WA
98007,Bellevue,WA
98008,Bellevue,WA
98009,Bellevue,WA
98010,Auburn,WA
98011,Bothell,WA
98012,Bothell,WA
98013,Auburn,WA
98014,Carnation,WA
98015,Bellevue,WA
98016,Auburn,WA
98017,Auburn,WA
98018,Auburn,WA
98019,Bothell,WA
98020,Edmonds,WA
98021,Bothell,WA
98022,Enumclaw,WA
98023,Federal Way,WA
98024,Fall City,WA
98025,Snoqualmie,WA
24701,Bluefield,WV
24712,Bluefield,WV
24713,Bluefield,WV
24714,Bluefield,WV
24715,Bluefield,WV
24716,Bluefield,WV
24717,Bluefield,WV
24718,Bluefield,WV
24719,Bluefield,WV
24720,Bluefield,WV
24721,Bluefield,WV
24722,Bluefield,WV
24723,Bluefield,WV
24724,Bluefield,WV
24725,Bluefield,WV
